matrix_sample_id,Gene,promoter_z
SYN-OED-001,CXCL9,0.33636264761117807
SYN-OED-002,CXCL9,0.3187506751957256
SYN-OED-003,CXCL9,1.3655528693566719
SYN-OED-004,CXCL9,0.3719164188429261
SYN-OED-005,CXCL9,0.0760986555336651
SYN-OED-006,CXCL9,-0.29632450807706195
SYN-OED-007,CXCL9,0.1031483810829289
SYN-OED-008,CXCL9,1.1578995614379732
SYN-OED-009,CXCL9,0.006028689872621598
SYN-OED-010,CXCL9,-0.25938060583314193
SYN-OED-011,CXCL9,-0.5622137116582471
SYN-OED-012,CXCL9,0.07405754156960735
SYN-OED-013,CXCL9,-0.15389953189377975
SYN-OED-014,CXCL9,-1.3640675499595318
SYN-OED-015,CXCL9,1.1929350831915921
SYN-OED-016,CXCL9,0.4769786885711506
SYN-OED-017,CXCL9,1.123066117221031
SYN-OED-018,CXCL9,-0.0037664320212740434
SYN-OED-019,CXCL9,-1.3225422927497268
SYN-OED-020,CXCL9,0.19190303894784513
SYN-OED-021,CXCL9,-0.24724612854796948
SYN-OED-022,CXCL9,2.264036795546506
SYN-OED-023,CXCL9,-0.4519239750230302
SYN-OED-024,CXCL9,-0.6322433278889693
SYN-OED-025,CXCL9,0.18673930236089029
SYN-OED-026,CXCL9,0.7684537687544075
SYN-OED-027,CXCL9,-0.37871223523313297
SYN-OED-028,CXCL9,0.3302429482758729
SYN-OED-029,CXCL9,-0.5458622062414458
SYN-OED-030,CXCL9,0.03420189554033866
SYN-OED-031,CXCL9,-0.023529796386924193
SYN-OED-032,CXCL9,-1.5203528717913957
SYN-OED-033,CXCL9,1.4255962970804976
SYN-OED-034,CXCL9,-2.682802881305789
SYN-OED-035,CXCL9,-0.08131627409445319
SYN-OED-036,CXCL9,-0.11638759433304988
SYN-OED-037,CXCL9,0.20942433099034166
SYN-OED-038,CXCL9,0.8222333484822979
SYN-OED-039,CXCL9,0.13623003724004096
SYN-OED-040,CXCL9,1.1800356379672885
SYN-OED-041,CXCL9,1.431400516899085
SYN-OED-042,CXCL9,-0.11928051219810479
SYN-OED-043,CXCL9,0.4036610487438261
SYN-OED-044,CXCL9,-0.3778754973790266
SYN-OED-045,CXCL9,-2.314045458411893
SYN-OED-046,CXCL9,0.4589309898964693
SYN-OED-047,CXCL9,0.7144033190762994
SYN-OED-048,CXCL9,-1.2746168421346717
SYN-OED-049,CXCL9,-0.16766955790049184
SYN-OED-050,CXCL9,-0.18276366846445805
SYN-OED-051,CXCL9,-0.3263394814563337
SYN-OED-052,CXCL9,0.8648138031276331
SYN-OED-053,CXCL9,-1.123676693200694
SYN-OED-054,CXCL9,1.193656631924405
SYN-OED-055,CXCL9,0.7844757217539648
SYN-OED-056,CXCL9,-0.2345404469097763
SYN-OED-057,CXCL9,0.7291912772600814
SYN-OED-058,CXCL9,0.7520461753756309
SYN-OED-059,CXCL9,0.007802645355293182
SYN-OED-060,CXCL9,0.9217994433149904
SYN-OED-061,CXCL9,-0.13472111030083442
SYN-OED-062,CXCL9,-0.43416563450996737
SYN-OED-063,CXCL9,-1.3060326133531688
SYN-OED-064,CXCL9,0.24049744307042606
SYN-OED-065,CXCL9,1.7999184577257588
SYN-OED-066,CXCL9,-0.583205813608158
SYN-OED-067,CXCL9,1.2111868317688101
SYN-OED-068,CXCL9,-0.9230977819191355
SYN-OED-069,CXCL9,-0.2237556379822756
SYN-OED-070,CXCL9,1.6180543185551184
SYN-OED-071,CXCL9,0.8848991842812757
SYN-OED-072,CXCL9,-0.11488802655183677
SYN-OED-073,CXCL9,-2.129206025203806
SYN-OED-074,CXCL9,-0.8023193148623534
SYN-OED-075,CXCL9,-0.6833605612598482
SYN-OED-076,CXCL9,1.2156789906372343
