probe,SYN-OED-001,SYN-OED-002,SYN-OED-003,SYN-OED-004,SYN-OED-005,SYN-OED-006,SYN-OED-007,SYN-OED-008,SYN-OED-009,SYN-OED-010,SYN-OED-011,SYN-OED-012,SYN-OED-013,SYN-OED-014,SYN-OED-015,SYN-OED-016,SYN-OED-017,SYN-OED-018,SYN-OED-019,SYN-OED-020,SYN-OED-021,SYN-OED-022,SYN-OED-023,SYN-OED-024,SYN-OED-025,SYN-OED-026,SYN-OED-027,SYN-OED-028
cgSYN000001,0.2823029635266077,0.3898890362213401,0.5098866368463527,0.3705515464938062,0.4544179019727962,0.3692349323465395,0.34226458523760106,0.3811578152090726,0.31319911021928043,0.3516991132654194,0.30321009585302067,0.3953589830920209,0.5139178524275341,0.3260742313723688,0.4673653409157075,0.46079394427864295,0.46820666475261585,0.41539624877039083,0.4394768857045561,0.4781067393365609,0.3175592090016669,0.540604565774123,0.4305984894569349,0.4248436474089812,0.5335613100543353,0.5223864424922476,0.3862613751248924,0.5418490424682307
cgSYN000002,0.5645262777931398,0.4725926388591297,0.5660574889329956,0.4596721888285208,0.44206734019694804,0.4138629574989756,0.5218207196551565,0.47769194912247614,0.5233280731901072,0.3838028894573683,0.41314763139662114,0.5313591670122859,0.5862600319849107,0.4179109064917783,0.4993351099038704,0.45930142163407284,0.470105988239339,0.41650160675322867,0.45411143440875135,0.4736262561923178,0.577600728671046,0.4982239373526295,0.45468968847018953,0.4265754760903212,0.4797357143453389,0.5914547149888402,0.6849760548597474,0.5422501566019549
cgSYN000003,0.17125367099929678,0.12728649449146678,0.14201495405157216,0.1429615574591806,0.12282637332233061,0.08350164975720202,0.04905293924709979,0.1330484773283998,0.12350642570619187,0.11370728363265402,0.18892237706851567,0.13588574934270675,0.12726539409586285,0.12248752015023905,0.21626345439271383,0.1534047310115607,0.09003191859016464,0.09718574854866195,0.10376663891690692,0.08498670886300345,0.0349080146394478,0.07120860045829676,0.1303147803503369,0.17602652984278683,0.09582856693757304,0.29150282655352827,0.20267106274652455,0.13106994473344047
cgSYN000004,0.4202522085103435,0.4792249915798257,0.4957612129034814,0.2970598621033298,0.3235950435967945,0.42978955594685586,0.42213993297682606,0.3834413704382785,0.4876912552079625,0.4137673203404326,0.43623078863442166,0.450676791616479,0.425739102134317,0.4316318648761234,0.3801981194096826,0.38749484299129766,0.4174272622486941,0.4137160277914711,0.34271930644258297,0.48866984495055665,0.37650395108291396,0.36553752017904834,0.5249275235486902,0.437946405484648,0.41914971898629627,0.5900809221626782,0.607591529412892,0.5003058648966843
cgSYN000005,0.13456667854316257,0.1288103871743922,0.14894502137738225,0.07164059985672093,0.13874392566424298,0.2723624074290636,0.23305083266066062,0.22830779786375277,0.08172483857591216,0.142990409987932,0.24989496805646505,0.05324138909386615,0.15237264221294056,0.14325383988259688,0.24198627644641363,0.22578676283708482,0.22763818889531912,0.17316893335616773,0.16914968147092146,0.21448299393880516,0.12238776314801651,0.20093108896601597,0.2024927183760295,0.1353051792568642,0.21942209922848888,0.2993340570534386,0.1372929365811213,0.22112855952643548
cgSYN000006,0.15056151143213375,0.12319750810462611,0.16713817394441915,0.11819091172987624,0.1033200021806674,0.1403344959994664,0.11241031435653968,0.10769036922817644,0.1800146918350296,0.12087840078280278,0.1728312774706371,0.17345201595194776,0.08069151063284215,0.23568290872329078,0.15428882357532492,0.1708130516459983,0.14558227477422442,0.11244609119469244,0.16834569058366278,0.03376294175949683,0.09769283469582134,0.07564960996112745,0.23139690775302502,0.21195455723183437,0.04697042310907511,0.24781284044638108,0.15484432225958933,0.30707907859148864
cgSYN000007,0.37333554966007976,0.4575205650347235,0.3750610338421699,0.39931310749507154,0.5249259050339037,0.4037949404392197,0.4101495737889297,0.45670438436657224,0.3107974712430662,0.4128662496290485,0.40168379607305493,0.4134640641926879,0.4281943191913534,0.5247555936012984,0.37365700407069014,0.41616940765809873,0.41122135391690573,0.36615161618246744,0.43656527854016414,0.488242576592845,0.37511929330542293,0.3363399400778804,0.4160844992024746,0.4503164850397262,0.4839506633253693,0.5258162143554708,0.6719427750227188,0.4332967089651038
cgSYN000008,0.15121539403673334,0.12369038493839528,0.23354402717549366,0.18104683030139912,0.3050263850805568,0.1404967552008275,0.20639048908249075,0.14966714933727238,0.1626752376708791,0.2543681713705037,0.17489829341132057,0.16115622124206286,0.1306426692122759,0.08295752608564068,0.23116535806954502,0.16353573589083858,0.16138395073597012,0.2737393336081617,0.1824879714051073,0.15485877380183694,0.15919175815287984,0.2089894863515107,0.09613610014855876,0.10078205266399885,0.16515085688068304,0.26795120175347104,0.22799154494063617,0.33377543143319743
cgSYN000009,0.609367249510755,0.6940916379454997,0.6881583216499076,0.7346769721404544,0.6558969517853012,0.6459094338391088,0.6545355805135095,0.5556315451199185,0.7472801301215682,0.5863443613527926,0.6308460014278413,0.613087140644696,0.6523280431078795,0.7079304091479175,0.7144243019908694,0.6538944439193809,0.6880702415810345,0.629402282360718,0.7044412350742274,0.7566726155059015,0.6360940571498449,0.7261911625728716,0.7436641465028361,0.6629219835179531,0.6329759498585306,0.8284930876700506,0.7225575450681618,0.7837416995585812
cgSYN000010,0.19266568013946095,0.08651347969132704,0.037145829808112776,0.022720545881761825,0.1227626412321323,0.01,0.01309619410221316,0.10700164199463198,0.03979583276892683,0.23076030531645253,0.01,0.08805326632897688,0.01,0.09594724689773974,0.12092702020274572,0.01,0.05410362325536726,0.10323322342500311,0.1625418726555532,0.12395235127723901,0.01,0.01,0.03436634214655303,0.07324882768857839,0.09171133114538606,0.21032816294490683,0.19900108399150743,0.3413141474099944
cgSYN000011,0.11144035687175576,0.01,0.0911130061556459,0.12699348504047026,0.08088262026701994,0.11114787601555824,0.058056572563396844,0.01668266492961655,0.05766335530296761,0.06043981934477295,0.01,0.2189974437771623,0.1697396461506368,0.06541833871061718,0.05198270869934983,0.01,0.1209147777387453,0.12837679071404995,0.15315579353940734,0.1576320961808858,0.05506447693736023,0.028593452888675583,0.041769662408492406,0.09537347607334674,0.12971250444604138,0.1808059863576927,0.05704695456577896,0.19655208075806502
cgSYN000012,0.5240527561130276,0.4737145409437036,0.48385748475540036,0.4093681879778851,0.5256711364429062,0.5424886809848629,0.4884840092667573,0.43248462277813926,0.3938677662673925,0.49845978312630734,0.3592757886684311,0.4675452249774693,0.40169509265735304,0.5283513028542974,0.4452803630422052,0.45961694657543983,0.468311587737435,0.4792430395265679,0.45132145726506145,0.4313795312203048,0.4883079231162286,0.545237619874482,0.3997738565508113,0.41603169825114306,0.42873721245026497,0.48224237059585595,0.6144842685385833,0.5944506267814254
cgSYN000013,0.36262504832840364,0.3552184642766396,0.45689361860894806,0.459561156053099,0.4180584061981405,0.4575098302076237,0.4553847450280719,0.3554689496948462,0.4408517416062926,0.4150506805517157,0.4517363575644898,0.47811915707624053,0.4931842764131782,0.35436236560966894,0.4790926894742209,0.36473783206436167,0.35634642996887517,0.38717234736117495,0.3976345338412902,0.4807805163894652,0.36601590716574095,0.4586874727283353,0.4013423574827917,0.39846624008018683,0.49761184599322406,0.5830850399035851,0.5062412076991897,0.6185563578870489
cgSYN000014,0.6348348492655638,0.579798426716446,0.6020944349084748,0.596847855447116,0.579302109918331,0.5654678435160655,0.6621127117204207,0.5623755638738224,0.5039288963408438,0.4510063234740497,0.5937598982359713,0.4597781601901231,0.4670490744876986,0.5268786798628843,0.6535821993652211,0.52516977102598,0.5438628552579492,0.5336342577905461,0.4993662060287717,0.44543039716132593,0.5850281716134001,0.6345249273594068,0.5802937630289527,0.601888736830531,0.5730218645607623,0.635901817167303,0.6514567944983528,0.6457877547237126
cgSYN000015,0.6028245164768562,0.5242678468287527,0.6464912795464802,0.5671862612413846,0.48055178989547565,0.5407661393755757,0.5570592965793284,0.5335946877492307,0.4258212859948479,0.5749577022021396,0.554000884695716,0.6191825617015078,0.5061222429361291,0.5968040978299625,0.5218554656391142,0.6605237348772824,0.494640318953795,0.6297944619973267,0.5530050418258271,0.6142885190641884,0.588094070260809,0.5328632534086352,0.6015071176862896,0.6083200979774617,0.5534117765286947,0.6728695767608796,0.6293065094962795,0.7135395866970602
cgSYN000016,0.36771010662512277,0.12219062214759961,0.2631387806738957,0.18009299387099842,0.12974275100826477,0.239606400900982,0.15142292844803712,0.15927377862555347,0.19485648971421432,0.14637423858847626,0.11953193705610081,0.15017299121737948,0.06348536553312688,0.2028433761477635,0.24651874671262936,0.16269700214785154,0.158083602301543,0.2862301432000902,0.1422065079910217,0.18497344086261547,0.23245120778538397,0.1915040869939495,0.24598751545005343,0.225047239234132,0.1490503750659825,0.2631979801935456,0.31823889838809666,0.3659241919113866
cgSYN000017,0.6096165107167852,0.5477842064855759,0.6569526669562779,0.5166547332754308,0.619048507274625,0.559831275057788,0.4885725028469501,0.6043221593295933,0.47017476934732805,0.550379196797209,0.5248625585523417,0.5412919584929698,0.5716969782334738,0.5192636790747557,0.5554864707200734,0.5434975500322177,0.6050680282097427,0.4459521155910984,0.5212397741383711,0.48785572159447876,0.46855211297577803,0.5125928128712688,0.5948301215147107,0.6157661500712427,0.4230256094928303,0.6507027081902055,0.6983528127345762,0.5871647475586536
cgSYN000018,0.23409742155208213,0.15167564473187922,0.2824552529188172,0.26789431701472693,0.29268970060472344,0.27366107603168227,0.306567180782162,0.3139160701455036,0.17063776165896666,0.2885218956829534,0.372421604322569,0.21481922795386138,0.20651551801757795,0.14590265695680005,0.308555029647898,0.26890306619752496,0.2536445100110398,0.2116621329746205,0.2953388325147385,0.27313503855734544,0.1862745435496181,0.28082570286708686,0.23882878893606602,0.24811887860988768,0.22328402014362475,0.304292413320588,0.3279082506018397,0.4809863681724769
cgSYN000019,0.5897168674890056,0.6051748919268942,0.5492344062532052,0.6431226001369755,0.5594297770492982,0.5859473323370648,0.5438993871059256,0.6123631946268167,0.6170250486060092,0.6439324526212625,0.6386020669325785,0.7182408887196654,0.6941308239643956,0.6013578928826839,0.5457037406887651,0.5841085146112001,0.6295612646381408,0.6918404042134381,0.5069903953178011,0.6231884664234649,0.6153871069237687,0.5136814852705276,0.5216851628673103,0.7008279248625235,0.6065657307012822,0.6582340991557536,0.7131561134540071,0.6566265526378212
cgSYN000020,0.574870223274598,0.4337142980900047,0.4688257943835604,0.3835948707219295,0.4926208860368875,0.4866155010732971,0.4038333825017405,0.5140452608935995,0.3745193925200595,0.42264416937726035,0.36506252505320685,0.3491839662339441,0.5179509301544142,0.5203311323745287,0.49533777034857895,0.6722037051223927,0.4863097758580801,0.3920614417339745,0.46043982809383677,0.4039748095888197,0.43736460964411994,0.4173887027143529,0.45419362746916403,0.5141713493258314,0.42700927495500607,0.46845887847049267,0.5718407156618063,0.6047516118344691
cgSYN000021,0.25586799386630016,0.312399094721459,0.25016330217557525,0.26670391730370624,0.2408960532665536,0.27755794416359547,0.18917543385805674,0.2793700139511961,0.2827523262077455,0.227364860910505,0.2791723460448132,0.14963281419595598,0.24695645768029578,0.18253021903306488,0.13447240769777014,0.22311015755988645,0.26846603018218074,0.2971318188471657,0.3805302777448136,0.23133947638269248,0.20641892677042756,0.3053460068003773,0.19598367600234506,0.22613549093000213,0.3130685119477663,0.4521408225590137,0.2977689976874821,0.3441263441266952
